EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
60533,Thompson,BJ,KCC,DE,53,24,243,78,0,Stephen F. Austin
11364,Ali,Josh,ATF,WR,80,24,193,72,1,Kentucky
55646,Johnson,Kyron,PHE,LB,58,25,235,72,2,Kansas
96787,Jones Jr.,Tony,DVB,RB,26,25,224,71,3,Notre Dame
73437,Gonzalez,Christian,NEP,CB,19,21,205,74,0,Oregon
29237,Weaver,Rashad,TNT,LB,99,25,259,76,3,Pittsburgh
80634,Wilson,Eric,GBP,LB,45,28,230,73,7,Cincinnati
84623,Hudson,Tyler,LAR,WR,86,22,197,74,0,Louisville
62446,Becton,Mekhi,NYJ,OT,77,24,363,79,4,Louisville
58506,Baker Jr.,Darrell,INC,CB,39,25,190,73,1,Georgia Southern
20291,Joseph,Brandon,DTL,S,40,22,200,72,0,Notre Dame
46177,Kaskey,Matt,LAC,OT,74,26,325,79,2,Dartmouth
53355,Dugger,Kyle,NEP,S,23,27,222,74,4,Lenoir-Rhyne
81063,Winfree,Juwann,INC,WR,8,26,210,73,3,Colorado
36546,Foreman,D'Onta,CHB,RB,21,27,235,72,6,Texas
26903,Hambright,Arlington,INC,G,64,27,300,77,2,Colorado
79789,Cashman,Blake,HST,LB,53,27,237,73,5,Minnesota
15076,Reed,D.J.,NYJ,CB,4,26,188,69,6,Kansas State
65905,Metchie III,John,HST,WR,8,23,187,71,1,Alabama
63589,Ojulari,Azeez,NYG,LB,51,23,240,75,3,Georgia
87474,Price,Bobby,AZC,CB,26,25,205,76,4,Norfolk State
85934,Martin,Brodric,DTL,DT,98,24,330,77,0,Western Kentucky
89721,Sweat,Josh,PHE,DE,94,26,265,77,6,Florida State
48317,Sanborn,Jack,CHB,LB,57,23,234,74,2,Wisconsin
89052,Breida,Matt,NYG,RB,31,28,190,70,7,Georgia Southern
18694,Taylor III,Willie,JKJ,LB,53,24,246,76,0,Eastern Kentucky
74407,Newsome II,Greg,CLB,CB,0,23,192,72,3,Northwestern
58264,Hopkins,Dustin,LAC,K,4,32,193,74,10,Florida State
71623,Bell,David,CLB,WR,18,22,212,73,2,Purdue
81347,Brown Jr.,Orlando,CNB,OT,75,27,345,80,6,Oklahoma
12310,Kelly,Ryan,INC,C,78,30,307,76,8,Alabama
52791,Brewer,Chandler,JKJ,OT,67,26,320,78,3,Middle Tennessee
32404,Davis,Cody,NEP,S,22,34,205,74,11,Texas Tech
56859,Jackson,Alaric,LAR,OT,77,25,285,79,3,Iowa
44843,Ankou,Eli,BFB,DT,51,29,325,75,6,UCLA
66158,Godwin,Chris,TBB,WR,14,27,208,73,7,Penn State
77920,Graham,Ta'Quon,ATF,DT,95,24,294,76,3,Texas
98141,Pineiro,Eddy,CAP,K,4,27,190,71,6,Florida
95077,Shaffer,Justin,ATF,G,54,25,330,76,1,Georgia
74115,Patrick,Jacques,TNT,RB,38,26,239,74,1,Florida State
72852,Littleton,Cory,HST,LB,42,29,225,75,8,Washington
81857,Adams,Davante,LVR,WR,17,30,215,73,10,Fresno State
67320,Whitehair,Cody,CHB,C,65,31,316,75,8,Kansas State
82429,Perry,A.T.,NOS,WR,17,23,205,77,0,Wake Forest
54747,Lloyd,Devin,JKJ,LB,33,24,235,75,2,Utah
52446,Hall,Terez,NEP,LB,59,26,240,74,2,Missouri
38509,Ogundeji,Adetokunbo,ATF,LB,92,24,268,76,3,Notre Dame
67290,Wilborn,Ray,NYG,LB,48,26,224,76,1,Ball State
33438,Broughton,Cortez,BFB,DT,94,26,291,74,3,Cincinnati
47318,Ezeudu,Joshua,NYG,G,75,23,308,76,2,North Carolina
62556,Jenkins,John,LVR,DT,95,34,327,75,11,Georgia
58549,Parham Jr.,Donald,LAC,TE,89,26,237,80,4,Stetson
43072,Bateman,Rashod,BLR,WR,7,23,197,73,3,Minnesota
83809,Potter,B.T.,PTS,K,3,23,200,70,0,Clemson
28001,Drake,Kenyan,INC,RB,31,29,216,73,8,Alabama
14852,Pinter,Danny,INC,G,63,27,301,76,4,Ball State
49594,Gilbert,Ulysees,TBB,LB,57,26,230,72,4,Akron
53590,Dulcich,Greg,DVB,TE,80,23,245,76,2,UCLA
14472,Leo,Titus,INC,DE,91,23,245,75,0,Wagner
19839,Adams,Tyler,INC,WR,2,25,190,72,0,Butler
77794,Cappa,Alex,CNB,G,65,28,310,78,6,Humboldt State
61050,Philips,Kyle,TNT,WR,18,24,189,71,2,UCLA
43641,Palczewski,Alex,DVB,OT,63,24,314,78,0,Illinois
40256,Reed,Jarran,STS,DE,90,30,306,75,8,Alabama
13705,Achane,De'Von,MMD,RB,28,21,188,69,0,Texas A&M
51816,Lucas,Abraham,STS,OT,72,24,322,78,2,Washington State
14566,Jensen,Nash,CAP,G,67,24,329,76,0,North Dakota State
45804,Grier,Will,DLC,QB,15,28,220,73,5,West Virginia
17589,Pascal,Zach,AZC,WR,0,28,215,74,6,Old Dominion
42855,Bush,Devin,STS,LB,0,25,234,71,5,Michigan
42656,Pierre,James,PTS,CB,42,26,185,74,4,Florida Atlantic
46612,Hairston,Nate,AZC,CB,27,29,185,72,6,Temple
97224,Mills,Davis,HST,QB,10,24,225,76,3,Stanford
56106,Biadasz,Tyler,DLC,C,63,25,316,75,4,Wisconsin
81541,Ruiz,Cesar,NOS,C,51,24,316,76,4,Michigan
19708,Lewis,Jourdan,DLC,CB,2,27,195,70,7,Michigan
13416,Witherspoon,Devon,STS,CB,21,22,185,72,0,Illinois
20478,Okwara,Julian,DTL,LB,99,25,239,76,4,Notre Dame
71229,Robinson Jr.,Brian,WSC,RB,8,24,228,73,2,Alabama
60882,Kreiter,Casey,NYG,LS,59,33,250,73,8,Iowa
40543,Zeitler,Kevin,BLR,G,70,33,315,76,12,Wisconsin
63629,Darby,Ronald,BLR,CB,28,29,193,71,9,Florida State
41774,Mayden,Jared,BFB,S,36,25,205,72,1,Alabama
30541,Tannehill,Ryan,TNT,QB,17,35,217,76,12,Texas A&M
17690,Davis,Shaquan,NOS,WR,88,23,215,77,0,South Carolina State
28254,Wylie,Andrew,WSC,G,71,29,309,78,6,Eastern Michigan
39785,Brown,Brittain,LVR,RB,38,25,205,73,2,UCLA
35299,Mundt,Johnny,MNV,TE,86,28,233,76,6,Oregon
17424,Menet,Michal,ATF,C,72,26,301,76,1,Penn State
